"Variable_Clean","Status","Final_VIF","VIF_Category"
"Annual Mean Temperature","REMOVED",NA,"Removed (High VIF)"
"Annual Mean Temperature","REMOVED",NA,"Removed (High VIF)"
"Annual Mean Temperature","REMOVED",NA,"Removed (High VIF)"
"Annual Mean Temperature","REMOVED",NA,"Removed (High VIF)"
"Annual Mean Temperature","REMOVED",NA,"Removed (High VIF)"
"Annual Mean Temperature","REMOVED",NA,"Removed (High VIF)"
"Annual Mean Temperature","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_4","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_5","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_6","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_7","REMOVED",NA,"Removed (High VIF)"
"Land Cover Class","RETAINED",1.255,"Low collinearity"
"Isothermality","RETAINED",2.271,"Low collinearity"
"Mean Diurnal Range","RETAINED",2.295,"Low collinearity"
"Mean Temp Driest Quarter","RETAINED",2.354,"Low collinearity"
"Mean Temp Wettest Quarter","RETAINED",2.681,"Low-moderate collinearity"
"Annual Mean Temperature","RETAINED",4.291,"Low-moderate collinearity"
"Annual Mean Temperature","RETAINED",4.773,"Low-moderate collinearity"
"Annual Mean Temperature","RETAINED",5.466,"Moderate collinearity"
"Annual Mean Temperature","RETAINED",6.104,"Moderate collinearity"
