"Removal_Order","Variable","Reason"
1,"wc2.1_2.5m_bio_7","High VIF (removed sequentially)"
2,"wc2.1_2.5m_bio_10","High VIF (removed sequentially)"
3,"wc2.1_2.5m_bio_16","High VIF (removed sequentially)"
4,"wc2.1_2.5m_bio_19","High VIF (removed sequentially)"
5,"wc2.1_2.5m_bio_11","High VIF (removed sequentially)"
6,"wc2.1_2.5m_bio_12","High VIF (removed sequentially)"
7,"wc2.1_2.5m_bio_5","High VIF (removed sequentially)"
8,"wc2.1_2.5m_bio_6","High VIF (removed sequentially)"
9,"wc2.1_2.5m_bio_4","High VIF (removed sequentially)"
10,"wc2.1_2.5m_bio_17","High VIF (removed sequentially)"
11,"wc2.1_2.5m_bio_18","High VIF (removed sequentially)"
