"Variable","Initial_VIF","Status","Final_VIF","Reason"
"wc2.1_2.5m_bio_7",28413877775208.2,"REMOVED",NA,"High initial VIF (28413877775208.2)"
"wc2.1_2.5m_bio_6",23517491526738.9,"REMOVED",NA,"High initial VIF (23517491526738.9)"
"wc2.1_2.5m_bio_5",21044858071824.7,"REMOVED",NA,"High initial VIF (21044858071824.7)"
"wc2.1_2.5m_bio_10",2929.744,"REMOVED",NA,"High initial VIF (2929.744)"
"wc2.1_2.5m_bio_11",2211.828,"REMOVED",NA,"High initial VIF (2211.828)"
"wc2.1_2.5m_bio_16",1642.672,"REMOVED",NA,"High initial VIF (1642.672)"
"wc2.1_2.5m_bio_19",1383.295,"REMOVED",NA,"High initial VIF (1383.295)"
"wc2.1_2.5m_bio_4",1061.07,"REMOVED",NA,"High initial VIF (1061.07)"
"wc2.1_2.5m_bio_12",735.136,"REMOVED",NA,"High initial VIF (735.136)"
"wc2.1_2.5m_bio_17",87.305,"REMOVED",NA,"High initial VIF (87.305)"
"wc2.1_2.5m_bio_18",24.141,"REMOVED",NA,"High initial VIF (24.141)"
"wc2.1_2.5m_bio_13",909.122,"RETAINED",3.964,"Retained (Final VIF: 3.964)"
"wc2.1_2.5m_bio_1",719.177,"RETAINED",5.689,"Retained (Final VIF: 5.689)"
"wc2.1_2.5m_bio_2",122.577,"RETAINED",2.009,"Retained (Final VIF: 2.009)"
"wc2.1_2.5m_bio_3",45.765,"RETAINED",2.365,"Retained (Final VIF: 2.365)"
"wc2.1_2.5m_bio_14",27.836,"RETAINED",4.768,"Retained (Final VIF: 4.768)"
"wc2.1_2.5m_bio_15",13.96,"RETAINED",6.449,"Retained (Final VIF: 6.449)"
"wc2.1_2.5m_bio_9",3.245,"RETAINED",2.374,"Retained (Final VIF: 2.374)"
"wc2.1_2.5m_bio_8",3.054,"RETAINED",2.706,"Retained (Final VIF: 2.706)"
"NLCD Land Cover Class",1.31,"RETAINED",1.231,"Retained (Final VIF: 1.231)"
